time,total_packets
1645401552.156192,6378537
1645401552.3578303,6378542
1645401552.5592084,6378558
1645401552.7603889,6378563
1645401552.9616838,6378563
1645401553.1628547,6378564
1645401553.3640463,6378573
1645401553.5655532,6378584
1645401553.7668054,6378590
1645401553.9679842,6378597
1645401554.1692908,6378610
1645401554.370524,6378611
1645401554.5717368,6378618
1645401554.7729697,6378626
1645401554.9742355,6378637
1645401555.1756282,6378652
1645401555.3768873,6378656
1645401555.578109,6378656
1645401555.7793448,6378665
1645401555.9806416,6378683
1645401556.1820219,6378687
1645401556.3834665,6378692
1645401556.5847974,6378692
1645401556.7860048,6378700
1645401556.9873464,6378717
1645401557.1887887,6378725
1645401557.3900044,6378725
1645401557.5912204,6378740
1645401557.7925696,6378743
1645401557.9937952,6378765
1645401558.1952417,6378779
1645401558.3965685,6378783
1645401558.5978017,6378785
1645401558.798968,6378787
1645401559.0002565,6378791
1645401559.201504,6378792
1645401559.402668,6378793
1645401559.6038423,6378797
1645401559.8051236,6378804
1645401560.006406,6378821
1645401560.207924,6378822
1645401560.4091837,6378822
1645401560.6103985,6378830
1645401560.8116302,6378832
1645401561.0128393,6378832
1645401561.2140317,6378838
1645401561.4152975,6378842
1645401561.6166248,6378846
1645401561.817846,6378852
1645401562.019054,6378856
1645401562.2202513,6378856
1645401562.4214897,6378857
1645401562.622717,6378861
1645401562.8239517,6378862
1645401563.025208,6378867
1645401563.2264817,6378867
1645401563.4277437,6378867
1645401563.6288702,6378867
1645401563.8300507,6378868
1645401564.0312884,6378868
1645401564.2325065,6378868
1645401564.4338353,6378868
1645401564.635047,6378868
1645401564.8362892,6378869
1645401565.037563,6378869
1645401565.238775,6378871
1645401565.4399593,6378871
1645401565.6411753,6378872
1645401565.842393,6378873
1645401566.0436373,6378873
1645401566.2448444,6378873
1645401566.4460242,6378873
1645401566.6471949,6378873
1645401566.8483515,6378874
1645401567.0498412,6378874
1645401567.251117,6378874
1645401567.4523535,6378874
1645401567.6536088,6378874
1645401567.8548183,6378877
1645401568.0559726,6378879
1645401568.2572083,6378879
1645401568.458463,6378879
1645401568.6596775,6378879
1645401568.8609123,6378880
1645401569.0620959,6378880
1645401569.2633245,6378880
1645401569.4645975,6378882
1645401569.66576,6378884
1645401569.86694,6378885
1645401570.068178,6378887
1645401570.2693095,6378887
1645401570.4705393,6378887
1645401570.671747,6378887
1645401570.8729784,6378888
1645401571.074243,6378889
1645401571.275504,6378889
1645401571.4767458,6378889
1645401571.6778553,6378889
1645401571.8790293,6378890
1645401572.0802639,6378890
1645401572.2815106,6378890
1645401572.4827487,6378890
1645401572.6839273,6378890
1645401572.8851876,6378892
1645401573.0864456,6378892
1645401573.287679,6378892
1645401573.488911,6378892
1645401573.69009,6378893
1645401573.8913195,6378893
1645401574.0926018,6378893
1645401574.293801,6378893
1645401574.4949758,6378894
1645401574.696235,6378896
1645401574.8974643,6378896
1645401575.0986989,6378896
1645401575.2998993,6378896
1645401575.501087,6378896
1645401575.7023172,6378897
1645401575.9035957,6378897
1645401576.1048036,6378897
1645401576.3059747,6378897
1645401576.507171,6378897
1645401576.7083263,6378898
1645401576.9095955,6378898
1645401577.1107998,6378898
1645401577.3119733,6378898
1645401577.5131612,6378898
1645401577.7143564,6378899
1645401577.9156094,6378899
1645401578.1168537,6378900
1645401578.3180423,6378901
1645401578.5192964,6378901
1645401578.7205563,6378903
1645401578.9217737,6378903
1645401579.122966,6378903
1645401579.3241713,6378903
1645401579.5253897,6378904
1645401579.7265813,6378906
1645401579.9277997,6378906
1645401580.1289651,6378906
1645401580.3301792,6378906
1645401580.5313542,6378906
1645401580.7325602,6378907
1645401580.9337773,6378907
1645401581.134947,6378907
1645401581.3361638,6378909
1645401581.5372791,6378909
1645401581.7385929,6378910
1645401581.9397638,6378911
1645401582.1409473,6378912
1645401582.3421817,6378912
1645401582.5434167,6378912
1645401582.7446306,6378913
1645401582.9458005,6378913
1645401583.1469173,6378913
1645401583.3480904,6378913
1645401583.5493495,6378913
1645401583.7504857,6378914
1645401583.95169,6378914
1645401584.1528459,6378914
1645401584.3540022,6378914
1645401584.5551748,6378916
1645401584.7563963,6378918
1645401584.957564,6378918
1645401585.1587796,6378919
1645401585.359874,6378919
1645401585.5610404,6378919
1645401585.7622206,6378920
1645401585.9634266,6378920
1645401586.1646504,6378920
1645401586.3658323,6378920
1645401586.5669975,6378921
1645401586.7688408,6378922
1645401586.9700067,6378922
1645401587.1712832,6378922
1645401587.3724592,6378922
1645401587.5737112,6378922
1645401587.7748847,6378923
1645401587.976061,6378924
1645401588.1773207,6378924
1645401588.3786092,6378924
1645401588.579796,6378927
1645401588.7809827,6378928
1645401588.9821684,6378928
1645401589.183421,6378928
1645401589.3846104,6378928
1645401589.5857804,6378929
1645401589.7869396,6378931
1645401589.9881573,6378931
1645401590.189395,6378931
1645401590.3905969,6378931
1645401590.5917614,6378931
1645401590.7928975,6378932
1645401590.9940627,6378932
1645401591.195322,6378932
1645401591.3965304,6378932
1645401591.5977027,6378932
1645401591.7988682,6378933
1645401592.000006,6378946
1645401592.201914,6378956
1645401592.4034092,6378966
1645401592.60475,6378969
1645401592.8058846,6378979
1645401593.007154,6378979
1645401593.2084262,6378979
1645401593.4096544,6378979
1645401593.6108155,6378979
1645401593.8119981,6378980
1645401594.0132663,6378994
1645401594.214664,6378998
1645401594.4160202,6378998
1645401594.6173267,6378998
1645401594.818599,6379003
1645401595.019763,6379003
1645401595.2209396,6379003
1645401595.422179,6379003
1645401595.6233945,6379003
1645401595.8245776,6379004
1645401596.0257423,6379004
1645401596.226897,6379004
1645401596.4280503,6379004
1645401596.6292646,6379004
1645401596.830501,6379005
1645401597.031658,6379007
1645401597.2329035,6379007
1645401597.4340608,6379007
1645401597.6352246,6379010
1645401597.8363793,6379011
1645401598.0375674,6379013
1645401598.2387216,6379015
1645401598.4399085,6379015
1645401598.6410654,6379015
1645401598.8422818,6379016
1645401599.0435154,6379016
1645401599.2446752,6379018
1645401599.4458392,6379018
1645401599.6468952,6379019
1645401599.8479486,6379020
1645401600.0491502,6379025
1645401600.250615,6379028
