time,total_pgfaults
1645419318.936533,239839446
1645419319.1379085,239839787
1645419319.3388844,239840128
1645419319.5399523,239840473
1645419319.740972,239840813
1645419319.9419725,239841156
1645419320.1430218,239841549
1645419320.3439987,239841881
1645419320.5450182,239842223
1645419320.7460196,239842564
1645419320.9469826,239842909
1645419321.1479728,239843249
1645419321.3489668,239843591
1645419321.5499988,239843933
1645419321.7509856,239844275
1645419321.9520218,239844615
1645419322.1529984,239844957
1645419322.3540099,239845299
1645419322.555008,239845641
1645419322.7565181,239845982
1645419322.957452,239846324
1645419323.158453,239846667
1645419323.3593998,239847008
1645419323.5603623,239847349
1645419323.7613466,239847693
1645419323.962305,239848036
1645419324.163244,239848385
1645419324.3642588,239848726
1645419324.565217,239849075
1645419324.766177,239849418
1645419324.9671934,239849777
1645419325.1682267,239850119
1645419325.3691897,239850847
1645419325.5704136,239851203
1645419325.7713938,239851544
1645419325.9723535,239851964
1645419326.17364,239852309
1645419326.3746872,239852652
1645419326.5757113,239852994
1645419326.7767577,239853338
1645419326.9777713,239853680
1645419327.178737,239854025
1645419327.379811,239854370
1645419327.5807638,239854714
1645419327.7817721,239855057
1645419327.982829,239855401
1645419328.183814,239855744
1645419328.3848286,239856087
1645419328.585853,239856458
1645419328.7868848,239856798
1645419328.9878638,239857143
1645419329.1889284,239857486
1645419329.3899539,239857829
1645419329.5909786,239858176
1645419329.7920556,239858518
1645419329.9930162,239858864
1645419330.1939936,239859208
1645419330.3950355,239859553
1645419330.595975,239860339
1645419330.7979515,239860683
1645419330.9989452,239861028
1645419331.1999269,239861374
1645419331.400941,239861719
1645419331.6019118,239862063
1645419331.8028858,239862404
1645419332.003871,239862749
1645419332.204861,239863093
1645419332.4058723,239863439
1645419332.606854,239863783
1645419332.807842,239864127
1645419333.0088177,239864472
1645419333.2097933,239864988
1645419333.410753,239865351
1645419333.6117122,239865712
1645419333.8127224,239866055
1645419334.0137382,239866461
1645419334.2148054,239866804
1645419334.415781,239867148
1645419334.6167514,239867500
1645419334.8177311,239867844
1645419335.018737,239868386
1645419335.219869,239868730
1645419335.4208694,239869080
1645419335.621886,239869425
1645419335.8228729,239869768
1645419336.0238495,239870202
1645419336.2249818,239870543
1645419336.4261103,239870886
