time,ping
1644038644.874414,0.220 ms
1644038645.0774727,0.249 ms
1644038645.2797337,0.292 ms
1644038645.4820561,0.150 ms
1644038645.684255,0.253 ms
1644038645.8866148,0.238 ms
1644038646.088893,0.247 ms
1644038646.2911909,0.220 ms
1644038646.4933975,0.248 ms
1644038646.6956904,0.251 ms
1644038646.89817,0.253 ms
1644038647.100443,0.252 ms
1644038647.3027675,0.260 ms
1644038647.5050864,0.204 ms
1644038647.7072463,0.250 ms
1644038647.9095602,0.245 ms
1644038648.111903,0.248 ms
1644038648.3142028,0.253 ms
1644038648.516403,0.220 ms
1644038648.7187352,0.247 ms
1644038648.9209802,0.201 ms
1644038649.1230922,0.254 ms
1644038649.3253593,0.190 ms
1644038649.5275755,0.255 ms
1644038649.729995,0.248 ms
1644038649.9322727,0.340 ms
1644038650.135192,0.177 ms
1644038650.3376107,0.141 ms
1644038650.53985,0.205 ms
1644038650.7421165,0.258 ms
1644038650.9444861,0.172 ms
1644038651.1467457,0.185 ms
1644038651.3490725,0.123 ms
1644038651.5511367,0.255 ms
1644038651.7537763,0.224 ms
1644038651.9560738,0.179 ms
1644038652.158286,0.242 ms
1644038652.3607047,0.189 ms
1644038652.562891,0.172 ms
1644038652.7649314,0.388 ms
1644038652.9673433,0.251 ms
1644038653.169696,0.252 ms
1644038653.3719878,0.262 ms
1644038653.5743232,0.181 ms
1644038653.7765284,0.249 ms
1644038653.9788065,0.271 ms
1644038654.1811087,0.242 ms
1644038654.383105,0.207 ms
1644038654.5853093,0.247 ms
1644038654.787708,0.266 ms
1644038654.9900107,0.273 ms
1644038655.1924477,0.251 ms
1644038655.3948128,0.137 ms
1644038655.596906,0.150 ms
1644038655.7990072,0.251 ms
1644038656.0012429,0.246 ms
1644038656.203448,0.251 ms
1644038656.4057527,0.262 ms
1644038656.6080763,0.245 ms
1644038656.8103027,0.264 ms
1644038657.012565,0.248 ms
1644038657.214933,0.255 ms
1644038657.417106,0.159 ms
1644038657.6192453,0.246 ms
1644038657.821444,0.172 ms
1644038658.0236757,0.276 ms
1644038658.2259772,0.252 ms
1644038658.428196,0.243 ms
1644038658.630409,0.256 ms
1644038658.8328183,0.261 ms
1644038659.0351067,0.246 ms
1644038659.2373364,0.249 ms
1644038659.4396706,0.235 ms
1644038659.6419268,0.251 ms
1644038659.8441465,0.245 ms
1644038660.0463414,0.249 ms
1644038660.2486415,0.248 ms
1644038660.4509578,0.261 ms
1644038660.6531785,0.257 ms
1644038660.8554463,0.260 ms
1644038661.0576808,0.255 ms
1644038661.2600513,0.250 ms
1644038661.4621954,0.161 ms
1644038661.6643412,0.251 ms
1644038661.8666222,0.254 ms
1644038662.068879,0.251 ms
1644038662.27105,0.231 ms
1644038662.4732897,0.173 ms
1644038662.6754136,0.192 ms
1644038662.8776584,0.245 ms
1644038663.0799499,0.201 ms
1644038663.2820578,0.252 ms
1644038663.4841974,0.246 ms
1644038663.68642,0.249 ms
1644038663.8887174,0.256 ms
1644038664.090994,0.244 ms
1644038664.293157,0.253 ms
1644038664.4953887,0.247 ms
1644038664.6976504,0.161 ms
1644038664.899707,0.182 ms
1644038665.1018934,0.165 ms
1644038665.303893,0.188 ms
1644038665.5061142,0.149 ms
1644038665.7081933,0.192 ms
1644038665.910297,0.249 ms
1644038666.1125998,0.184 ms
1644038666.3147664,0.239 ms
1644038666.5170035,0.197 ms
1644038666.71917,0.250 ms
1644038666.9213974,0.247 ms
1644038667.1236563,0.245 ms
1644038667.325953,0.250 ms
1644038667.5281441,0.247 ms
1644038667.7303417,0.250 ms
1644038667.9326024,0.258 ms
1644038668.1349394,0.197 ms
1644038668.337066,0.173 ms
1644038668.539193,0.201 ms
1644038668.7413146,0.164 ms
1644038668.943602,0.248 ms
1644038669.1458213,0.191 ms
1644038669.3479395,0.234 ms
1644038669.5499868,0.220 ms
1644038669.752199,0.242 ms
1644038669.9545183,0.268 ms
1644038670.1568227,0.260 ms
1644038670.359136,0.124 ms
1644038670.5611646,0.250 ms
1644038670.763177,0.186 ms
1644038670.9653594,0.162 ms
1644038671.167541,0.165 ms
1644038671.3698163,0.156 ms
1644038671.5719469,0.187 ms
1644038671.7740831,0.176 ms
1644038671.9762046,0.254 ms
1644038672.1784298,0.249 ms
1644038672.3807764,0.213 ms
1644038672.583018,0.195 ms
1644038672.7851338,0.191 ms
1644038672.9873414,0.252 ms
1644038673.1896257,0.245 ms
1644038673.3918447,0.260 ms
1644038673.594172,0.146 ms
1644038673.7962666,0.253 ms
1644038673.9985242,0.261 ms
1644038674.200827,0.244 ms
1644038674.4030027,0.266 ms
1644038674.6052053,0.167 ms
1644038674.8074353,0.172 ms
1644038675.0096903,0.256 ms
1644038675.211947,0.244 ms
1644038675.414185,0.194 ms
1644038675.6163065,0.165 ms
1644038675.818422,0.182 ms
1644038676.0206256,0.201 ms
