Name,Address,Average Rating,Number of Ratings,Price Level,Location
Roula's Cafe,"351 South West Temple Street, Salt Lake City",4.3,43,1,SLC
Market Street Grill & Oyster Bar - Downtown,"48 West Market Street, Salt Lake City",4.3,2467,3,SLC
Takashi,"18 West Market Street, Salt Lake City",4.7,2147,2,SLC
BTG Wine Bar,"404 South West Temple Street, Salt Lake City",4.6,363,2,SLC
Caffé Molise,"404 South West Temple Street, Salt Lake City",4.5,2297,2,SLC
Apollo Burger,"379 South Main Street, Salt Lake City",4.2,806,2,SLC
The Melting Pot,"340 South Main Street, Salt Lake City",4.3,1604,3,SLC
Maxwell's East Coast Eatery,"357 South Main Street, Salt Lake City",4,1039,2,SLC
Pago on Main,"341 South Main Street, Salt Lake City",4.7,32,,SLC
Bodega and The Rest,"331 Main Street, Salt Lake City",4.5,636,2,SLC
Gracie's,"326 South West Temple Street, Salt Lake City",4.2,2896,2,SLC
Uni's Foods,Salt Lake City,,,,SLC
Sicilia Pizza & Kitchen,"35 West 300 South, Salt Lake City",4.4,722,1,SLC
White Horse Spirits & Kitchen,"325 South Main Street, Salt Lake City",4.6,1027,2,SLC
London Belle,"321 South Main Street, Salt Lake City",4.3,506,,SLC
Whiskey Street Cocktails & Dining,"323 South Main Street, Salt Lake City",4.4,2057,2,SLC
Twist Bar - Bistro - Social,"32 Exchange Place, Salt Lake City",4.2,1154,2,SLC
The Ramen Bar,"319 South Main Street, Salt Lake City",4.5,608,,SLC
Eva,"317 South Main Street, Salt Lake City",4.5,678,2,SLC
The Bistro – Eat. Drink. Connect.®,"130 West 400 South, Salt Lake City",5,1,,SLC
The Robin's Nest,"311 South Main Street, Salt Lake City",4.6,463,1,SLC
The Green Pig Pub,"31 East 400 South, Salt Lake City",4.4,2616,2,SLC
Tavercle Social Club,"50 West Broadway, Salt Lake City",4.6,789,2,SLC
Itto Sushi,"12 West Broadway, Salt Lake City",4.6,893,2,SLC
Ozora Izakaya Japanese Bar and Tapas - Downtown Salt Lake City,"50 West Broadway Suite #100, Salt Lake City",4.6,36,,SLC
Ruth's Chris Steak House,"275 South West Temple Street, Salt Lake City",4.7,2669,4,SLC
Lemon Shark Poke,United States,,,,SLC
Watkins Restaurant Group,"275 South West Temple Street, Salt Lake City",4.5,2,,SLC
Sonoma Grill & Wine Bar,"110 West Broadway, Salt Lake City",3.9,180,2,SLC
Jimmy John's,"14 East Broadway, Salt Lake City",3.9,166,1,SLC
Christopher's Prime Tavern & Grill,"110 West Broadway, Salt Lake City",4,479,4,SLC
BROADWAY BURGERS N DAWGS,"268 South Main Street, Salt Lake City",5,14,,SLC
Toasters Deli,"30 East 300 South, Salt Lake City",4.4,282,2,SLC
Pleiku,"264 South Main Street, Salt Lake City",4.4,625,2,SLC
Padeli's Street Greek,"30 West Broadway, Salt Lake City",4.5,396,1,SLC
Rich's Burgers-N-Grub,"30 East Broadway, Salt Lake City",4.5,1259,1,SLC
5th Street Grill,"150 West 500 South, Salt Lake City",3,28,,SLC
The Coffee Shop at Little America Hotel,"500 South Main Street, Salt Lake City",4.4,1564,2,SLC
Spitz - Downtown Salt Lake City - Mediterranean Restaurant | Bar - Dine-In or Outdoor Dining,"35 East Broadway, Salt Lake City",4.5,2483,2,SLC
Boston Deli,"450 State Street, Salt Lake City",3.2,13,2,SLC
