"STATION","NAME","DATE","TMIN"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-01","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-02","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-03","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-04","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-05","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-06","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-07","17"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-08","13"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-09","22"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-10","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-11","11"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-12","13"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-13","20"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-14","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-15","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-16","4"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-17","3"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-18","25"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-19","32"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-20","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-21","22"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-22","17"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-23","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-24","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-25","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-26","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-27","13"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-28","12"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-29","21"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-30","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-01-31","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-01","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-02","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-03","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-04","11"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-05","12"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-06","15"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-07","11"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-08","25"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-09","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-10","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-11","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-12","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-13","24"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-14","22"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-15","21"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-16","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-17","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-18","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-19","14"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-20","11"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-21","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-22","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-23","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-24","14"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-25","15"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-26","13"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-27","21"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-28","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-02-29","17"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-01","14"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-02","14"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-03","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-04","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-05","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-06","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-07","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-08","17"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-09","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-10","32"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-11","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-12","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-13","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-14","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-15","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-16","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-17","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-18","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-19","19"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-20","16"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-21","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-22","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-23","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-24","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-25","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-26","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-27","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-28","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-29","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-30","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-31","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-01","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-02","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-03","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-04","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-05","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-06","20"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-07","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-08","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-09","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-10","46"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-11","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-12","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-13","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-14","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-15","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-16","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-17","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-18","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-19","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-20","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-21","44"
